ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4
774,simple,695 2rs,Vòng bi tiếp xúc góc,1,0,visible,Đường kính trong (mm): 5  \n  Đường kính ngoài (mm): 13 \n Độ dày (mm): 4 \n Khối lượng (kg): 0.2,,,,taxable,,1,,,0,0,,,,,1,,,"0,19",Spare part > Vòng bi tiếp xúc góc,,,,,,,,,,,,0,Đường kính trong (mm),5,1,1,Đường kính ngoài (mm),13,1,1,Độ dày (mm),4,1,1,Khối lượng (kg),0.2,1,1
775,simple,699zz,Vòng bi tiếp xúc góc,1,0,visible,Đường kính trong (mm): 9  \n  Đường kính ngoài (mm): 20 \n Độ dày (mm): 6 \n Khối lượng (kg): 0.3,,,,taxable,,1,,,0,0,,,,,1,,,"0,19",Spare part > Vòng bi tiếp xúc góc,,,,,,,,,,,,0,Đường kính trong (mm),9,1,1,Đường kính ngoài (mm),20,1,1,Độ dày (mm),6,1,1,Khối lượng (kg),0.3,1,1
776,simple,624zz,Vòng bi tiếp xúc góc,1,0,visible,Đường kính trong (mm): 4  \n  Đường kính ngoài (mm): 13 \n Độ dày (mm): 5 \n Khối lượng (kg): 0.2,,,,taxable,,1,,,0,0,,,,,1,,,"0,19",Spare part > Vòng bi tiếp xúc góc,,,,,,,,,,,,0,Đường kính trong (mm),4,1,1,Đường kính ngoài (mm),13,1,1,Độ dày (mm),5,1,1,Khối lượng (kg),0.2,1,1
777,simple,685 2s,Vòng bi tiếp xúc góc,1,0,visible,Đường kính trong (mm): 5  \n  Đường kính ngoài (mm): 11 \n Độ dày (mm): 3 \n Khối lượng (kg): 0.15,,,,taxable,,1,,,0,0,,,,,1,,,"0,21",Spare part > Vòng bi tiếp xúc góc,,,,,,,,,,,,0,Đường kính trong (mm),5,1,1,Đường kính ngoài (mm),11,1,1,Độ dày (mm),3,1,1,Khối lượng (kg),0.15,1,1
778,simple,699 2rs,Vòng bi tiếp xúc góc,1,0,visible,Đường kính trong (mm): 9  \n  Đường kính ngoài (mm): 20 \n Độ dày (mm): 6 \n Khối lượng (kg): 0.13,,,,taxable,,1,,,0,0,,,,,1,,,"0,21",Spare part > Vòng bi tiếp xúc góc,,,,,,,,,,,,0,Đường kính trong (mm),9,1,1,Đường kính ngoài (mm),20,1,1,Độ dày (mm),6,1,1,Khối lượng (kg),0.13,1,1
779,simple,S6906 2rs,Vòng bi tiếp xúc góc,1,0,visible,Đường kính trong (mm): 30  \n  Đường kính ngoài (mm): 50 \n Độ dày (mm): 9 \n Khối lượng (kg): 0.3,,,,taxable,,1,,,0,0,,,,,1,,,"2,08",Spare part > Vòng bi tiếp xúc góc,,,,,,,,,,,,0,Đường kính trong (mm),30,1,1,Đường kính ngoài (mm),50,1,1,Độ dày (mm),9,1,1,Khối lượng (kg),0.3,1,1
780,simple,AS180 4T07P5,Biến tần,1,0,visible,Công suất (kw): 7.5  \n  Dòng điện (A): 16 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"210,03",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),7.5,1,1,Dòng điện (A),16,1,1,Hiệu suất(%),94,1,1,,,,
781,simple,AS180 4T0011,Biến tần,1,0,visible,Công suất (kw): 11  \n  Dòng điện (A): 21 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"238,62",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),11,1,1,Dòng điện (A),21,1,1,Hiệu suất(%),94,1,1,,,,
782,simple,AS180 4T0015,Biến tần,1,0,visible,Công suất (kw): 15  \n  Dòng điện (A): 30.5 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"259,78",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),15,1,1,Dòng điện (A),30.5,1,1,Hiệu suất(%),94,1,1,,,,
783,simple,AS180 4T18P5,Biến tần,1,0,visible,Công suất (kw): 18.5  \n  Dòng điện (A): 38 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"299,31",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),18.5,1,1,Dòng điện (A),38,1,1,Hiệu suất(%),94,1,1,,,,
